text,label,id_reply
   As a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out,2,201010101021010
   boy dats coldtyga dwn bad for cuffin dat hoe in the st place,1,201010101021010
  Dawg   You ever fuck a bitch and she start to cry You be confused as shit,1,201010101021010
   she look like a tranny,1,201010101021010
   The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,1,201010101021010
 The shit just blows meclaim you so faithful and down for somebody but still fucking with hoes ,1,201010101021010
 I can not just sit up and HATE on another bitch  I got too much shit going on,1,201010101021010
 cause Im tired of you big bitches coming for us skinny girls,1,201010101021010
 amp you might not get ya bitch back amp thats that ,1,201010101021010
 hobbies include fighting Mariam bitch,1,201010101021010
 Keeks is a bitch she curves everyone  lol I walked into a conversation like this Smh,1,201010101021010
 Murda Gang bitch its Gang Land ,1,201010101021010
 So hoes that smoke are losers   yea  go on IG,1,201010101021010
 bad bitches is the only thing that i like ,1,201010101021010
 bitch get up off me ,1,201010101021010
 bitch nigga miss me with it ,1,201010101021010
 bitch plz whatever ,1,201010101021010
 bitch who do you love ,1,201010101021010
 bitches get cut off everyday B ,1,201010101021010
 black bottle amp a bad bitch ,1,201010101021010
 broke bitch cant tell me nothing ,1,201010101021010
 cancel that bitch like Nino ,1,201010101021010
 cant you see these hoes wont change ,1,201010101021010
 fuck no that bitch dont even suck dick   the Kermit videos bout to fuck IG up,1,201010101021010
 got ya bitch tip toeing on my hardwood floors  ,1,201010101021010
 her pussy lips like Heaven doors  ,1,201010101021010
 hoe what its hitting for ,1,201010101021010
 i met that pussy on Ocean Dr  i gave that pussy a pill  ,1,201010101021010
 i need a trippy bitch who fuck on Hennessy ,1,201010101021010
 i spend my money how i want bitch its my business ,1,201010101021010
 i txt my old bitch my new bitch pussy wetter ,1,201010101021010
 id say im back to the old me but my old bitches would get excited  ,1,201010101021010
 if you aint bout that Murder Game pussy nigga shut up ,1,201010101021010
 if youre toes aint done you pussy stinks ,1,201010101021010
 im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that ,1,201010101021010
 is that ya bitch ,1,201010101021010
 it aint nothing to cut a bitch off ,1,201010101021010
 jus meet son now he ya mane ass bitches ,1,201010101021010
 lames crying over hoes thats tears of a clown ,1,201010101021010
 like Snoop said in we dont love these hoes ,1,201010101021010
 momma said no pussy cats inside my doghouse ,2,201010101021010
 most hated but the hoes favorite ,1,201010101021010
 nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick,1,201010101021010
 pimps up pimps up hoes down  Future voice,1,201010101021010
 post a picture of that pussy get likes ,1,201010101021010
 pussy is a powerful drug  ,1,201010101021010
 quick piece of pussy call it a drive by ,1,201010101021010
 running round here like some brand new pussy thats bout to get fucked ,1,201010101021010
 these bitches even worst theyll send them guys for you ,1,201010101021010
 these hoes like niggas that spend money not talk bout it ,1,201010101021010
 we dont trust these niggas all these bitches ,1,201010101021010
 yall niggas b cuffing hoes cause yall aint never have bitches ,1,201010101021010
 you dodge a bullet    All da bitches I cut off pregnant or bound to be thank God ,1,201010101021010
 young Pill Chamberlain these bitches love my music ,1,201010101021010
 Teanna Trump probably cleaner than most of these twitter hoes but,1,201010101021010
 Gay niggas couldnt wait to act like bitches tonight,1,201010101021010
 And ima steal his cat n replace it with a pitbull    He a bitch you should do it,1,201010101021010
amp hes gone always be a hoe,1,201010101021010
Son of a bitch took my Tic Tacs I like this movie,1,201010101021010
All I wanna do is get money and fuck model bitches  Russell Simmons,1,201010101021010
 I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers Retweet,1,201010101021010
 Im a fucking fag they said,1,201010101021010
 Females think dating a pussy is cute now  how does doing this stuff make him a pussy,1,201010101021010
 SimplyAddictedToGuys  woof woof hot scally lad,2,201010101021010
 Have ya ever asked your bitch for other bitches  kanye voice Yes,1,201010101021010
 How u gone bring ur side bitch to a game where You know Ya gf friends at   I SWEAR,1,201010101021010
  woof woof and hot soles,2,201010101021010
 Lemmie eat a Oreo amp do these dishes One oreo Lol,2,201010101021010
 bitch fuck u  maybe youll get better Just,1,201010101021010
 Fuck Red Malone man bitch ass niggah could you please use complete sentences,1,201010101021010
 Why the eggplant emoji doey he say she looked like scream lmao,2,201010101021010
 Hennessey Venom GT   thats one sexy bitch,1,201010101021010
 Him seh me pussy wetter then a shower curtainltlmao,1,201010101021010
 and every need to see that pic I just posted because that bitch just said the most racist shit,1,201010101021010
 Yo fuck skateboarding all yall some wood pushing faggots man ball is life ,1,201010101021010
 baby monkey bathtime  Awwwwe This is soooo ADORABLE,2,201010101021010
  I aint shit  Damn Skippy lol,1,201010101021010
 u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b gt30chance,1,201010101021010
  rings mvps bitches lol,1,201010101021010
 ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn ,1,201010101021010
 The facts on tattoostattoo  hes a pussy with not tattooing them nipples,1,201010101021010
   Bitches be wanting to act like niggas so bad  that shit aint cuteeeee but niggas act like bitches,1,201010101021010
 Get worshiping bitch  woof woof,1,201010101021010
 Wow  Im lost Are those buttcheek piercings  yeah shes a hoe,1,201010101021010
 Ok sis Shed rather be a broke bitch shrugs shell have to tell me how it works for her,1,201010101021010
 queer gaywad,0,201010101021010
 faggot read my tweets after dat k it wasnt even funny lol,1,201010101021010
 This bitch was so ungrateful  fr  LULWHORE,1,201010101021010
 I been kidnapped yo bitch,1,201010101021010
 alsarabsss hes a beaner smh you can tell hes a mexican,0,201010101021010
 happy birthday nigs Thanks yo,1,201010101021010
 when ur teacher tells u that u have homework  this bitch need to go,1,201010101021010
  that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul,1,201010101021010
 What would yall lil ugly bald headed bitches do if they stop making makeup amp weave,1,201010101021010
 Leafs better win this damn game so I can go riot and shit  you better start looting my nig,1,201010101021010
 Going back to school sucks more dick than the hoes who attend it,1,201010101021010
